model_name,likes,downloads,category,task,library,dataset,dataset_config_name
mosaicml/mpt-7b-instruct,448,11484,INCModelForCausalLM,text-generation,transformers,mosaicml/dolly_hhrlhf,
stabilityai/stablelm-tuned-alpha-7b,356,2655,INCModelForCausalLM,text-generation,transformers,Dahoas/full-hh-rlhf,
epfl-llm/meditron-70b,118,1603,INCModelForCausalLM,text-generation,transformers,medmcqa,
stabilityai/stablelm-tuned-alpha-3b,110,4527,INCModelForCausalLM,text-generation,transformers,Dahoas/full-hh-rlhf,
NousResearch/Yarn-Llama-2-13b-128k,106,899,INCModelForCausalLM,text-generation,transformers,pg19,
upstage/llama-30b-instruct-2048,103,17527,INCModelForCausalLM,text-generation,transformers,sciq,
jondurbin/bagel-dpo-34b-v0.2,58,716,INCModelForCausalLM,text-generation,transformers,ai2_arc,ARC-Challenge
stabilityai/stablelm-base-alpha-7b-v2,45,2032,INCModelForCausalLM,text-generation,transformers,JeanKaddour/minipile,
NousResearch/Yarn-Llama-2-7b-128k,36,2580,INCModelForCausalLM,text-generation,transformers,pg19,
Ar4ikov/gpt2-650k-stable-diffusion-prompt-generator,34,712,INCModelForCausalLM,text-generation,transformers,Ar4ikov/sd_filtered_2m,
HiTZ/GoLLIE-34B,33,10,INCModelForCausalLM,text-generation,transformers,conll2003,
TheBloke/manticore-13b-chat-pyg-GPTQ,32,1822,INCModelForCausalLM,text-generation,transformers,riddle_sense,
jondurbin/bagel-dpo-7b-v0.1,30,1935,INCModelForCausalLM,text-generation,transformers,ai2_arc,ARC-Challenge
openaccess-ai-collective/jackalope-7b,29,2929,INCModelForCausalLM,text-generation,transformers,riddle_sense,
openaccess-ai-collective/manticore-13b-chat-pyg,28,1657,INCModelForCausalLM,text-generation,transformers,riddle_sense,
stabilityai/stablelm-base-alpha-3b-v2,26,381,INCModelForCausalLM,text-generation,transformers,JeanKaddour/minipile,
codeparrot/codeparrot-small,25,658,INCModelForCausalLM,text-generation,transformers,openai_humaneval,
mosaicml/mpt-7b-8k-instruct,24,3769,INCModelForCausalLM,text-generation,transformers,mosaicml/dolly_hhrlhf,
TheBloke/upstage-llama-30b-instruct-2048-GPTQ,24,7,INCModelForCausalLM,text-generation,transformers,sciq,
bkai-foundation-models/vietnamese-llama2-7b-40GB,24,464,INCModelForCausalLM,text-generation,transformers,pg19,
jondurbin/nontoxic-bagel-34b-v0.2,23,429,INCModelForCausalLM,text-generation,transformers,ai2_arc,ARC-Challenge
openaccess-ai-collective/hippogriff-30b-chat,22,1617,INCModelForCausalLM,text-generation,transformers,riddle_sense,
upstage/llama-30b-instruct,22,1727,INCModelForCausalLM,text-generation,transformers,sciq,
Locutusque/TinyMistral-248M,22,4236,INCModelForCausalLM,text-generation,transformers,JeanKaddour/minipile,
NousResearch/Yarn-Llama-2-7b-64k,21,370,INCModelForCausalLM,text-generation,transformers,pg19,
NousResearch/Yarn-Llama-2-13b-64k,19,134,INCModelForCausalLM,text-generation,transformers,pg19,
llm-agents/tora-70b-v1.0,19,2926,INCModelForCausalLM,text-generation,transformers,gsm8k,main
Intel/gpt-j-6B-int8-dynamic,16,21,INCModelForCausalLM,text-generation,transformers,lambada,
emozilla/LLongMA-2-13b-storysummarizer,16,5,INCModelForCausalLM,text-generation,transformers,emozilla/booksum-summary-analysis_llama-8192,
universeTBD/astrollama,16,127,INCModelForCausalLM,text-generation,transformers,universeTBD/arxiv-astro-abstracts-all,
TheBloke/Yarn-Llama-2-13B-128K-GPTQ,16,213,INCModelForCausalLM,text-generation,transformers,pg19,
emozilla/mpt-7b-storysummarizer,15,7,INCModelForCausalLM,text-generation,transformers,emozilla/booksum-summary-analysis_gptneox-8192,
openaccess-ai-collective/minotaur-15b,15,15,INCModelForCausalLM,text-generation,transformers,riddle_sense,
jondurbin/bagel-34b-v0.2,15,593,INCModelForCausalLM,text-generation,transformers,ai2_arc,ARC-Challenge
Narrativaai/bloom-560m-finetuned-totto-table-to-text,14,285,INCModelForCausalLM,text-generation,transformers,totto,
jondurbin/bagel-7b-v0.1,14,1903,INCModelForCausalLM,text-generation,transformers,ai2_arc,ARC-Challenge
bkai-foundation-models/vietnamese-llama2-7b-120GB,14,1089,INCModelForCausalLM,text-generation,transformers,pg19,
openaccess-ai-collective/manticore-30b-chat-pyg-alpha,13,1623,INCModelForCausalLM,text-generation,transformers,riddle_sense,
openaccess-ai-collective/minotaur-13b-fixed,13,1634,INCModelForCausalLM,text-generation,transformers,riddle_sense,
BEE-spoke-data/smol_llama-101M-GQA,13,2122,INCModelForCausalLM,text-generation,transformers,JeanKaddour/minipile,
akoksal/LongForm-LLaMA-7B-diff,12,10,INCModelForCausalLM,text-generation,transformers,akoksal/LongForm,
akoksal/LongForm-OPT-125M,12,4,INCModelForCausalLM,text-generation,transformers,akoksal/LongForm,
jondurbin/bagel-8x7b-v0.2,12,346,INCModelForCausalLM,text-generation,transformers,ai2_arc,ARC-Challenge
TheBloke/hippogriff-30b-chat-GPTQ,11,11,INCModelForCausalLM,text-generation,transformers,riddle_sense,
HiTZ/GoLLIE-7B,11,3402,INCModelForCausalLM,text-generation,transformers,conll2003,
llm-agents/tora-code-13b-v1.0,11,3023,INCModelForCausalLM,text-generation,transformers,gsm8k,main
llm-agents/tora-code-34b-v1.0,11,3118,INCModelForCausalLM,text-generation,transformers,gsm8k,main
keyfan/bloomz-rlhf,10,1,INCModelForCausalLM,text-generation,transformers,Dahoas/full-hh-rlhf,
TheBloke/minotaur-15B-GGML,10,0,INCModelForCausalLM,text-generation,transformers,riddle_sense,
llm-agents/tora-code-7b-v1.0,10,3106,INCModelForCausalLM,text-generation,transformers,gsm8k,main
