model_name,likes,downloads,category,task,library,dataset,dataset_config_name
huggingface/CodeBERTa-small-v1,57,83155,INCModelForMaskedLM,fill-mask,transformers,code_search_net,python
PORTULAN/albertina-900m-portuguese-ptbr-encoder-brwac,37,242,INCModelForMaskedLM,fill-mask,transformers,assin2,
markussagen/xlm-roberta-longformer-base-4096,31,133,INCModelForMaskedLM,fill-mask,transformers,wikitext,wikitext-103-raw-v1
PORTULAN/albertina-900m-portuguese-ptpt-encoder,23,490,INCModelForMaskedLM,fill-mask,transformers,assin2,
pdelobelle/robbert-v2-dutch-base,20,4994,INCModelForMaskedLM,fill-mask,transformers,dbrd,
naver/splade-cocondenser-ensembledistil,19,327930,INCModelForMaskedLM,fill-mask,transformers,ms_marco,v1.1
DTAI-KULeuven/robbert-2022-dutch-base,9,949,INCModelForMaskedLM,fill-mask,transformers,dbrd,
Peltarion/xlm-roberta-longformer-base-4096,7,130,INCModelForMaskedLM,fill-mask,transformers,wikitext,wikitext-103-raw-v1
naver/splade-cocondenser-selfdistil,6,304,INCModelForMaskedLM,fill-mask,transformers,ms_marco,v1.1
jhu-clsp/roberta-large-eng-ara-128k,5,4,INCModelForMaskedLM,fill-mask,transformers,gigaword,
naver/efficient-splade-V-large-doc,5,4348,INCModelForMaskedLM,fill-mask,transformers,ms_marco,v1.1
PORTULAN/albertina-900m-portuguese-ptbr-encoder,5,228,INCModelForMaskedLM,fill-mask,transformers,assin2,
DTAI-KULeuven/robbert-2023-dutch-large,5,235,INCModelForMaskedLM,fill-mask,transformers,dbrd,
naver/efficient-splade-VI-BT-large-doc,4,168610,INCModelForMaskedLM,fill-mask,transformers,ms_marco,v1.1
naver/efficient-splade-VI-BT-large-query,4,1821,INCModelForMaskedLM,fill-mask,transformers,ms_marco,v1.1
huggingface-course/distilbert-base-uncased-finetuned-imdb,3,314,INCModelForMaskedLM,fill-mask,transformers,imdb,
naver/efficient-splade-V-large-query,3,3302,INCModelForMaskedLM,fill-mask,transformers,ms_marco,v1.1
emre/java-RoBERTa-Tara-small,2,1,INCModelForMaskedLM,fill-mask,transformers,code_search_net,all
mayankb96/bert-base-uncased-finetuned-lexglue,2,1,INCModelForMaskedLM,fill-mask,transformers,lex_glue,case_hold
AshtonIsNotHere/xlm-roberta-long-base-4096,2,1,INCModelForMaskedLM,fill-mask,transformers,wikitext,wikitext-103-raw-v1
mnaylor/mega-wikitext-103,2,0,INCModelForMaskedLM,fill-mask,,wikitext,wikitext-103-raw-v1
Riksarkivet/bert-base-cased-swe-historical,2,3,INCModelForMaskedLM,fill-mask,transformers,Riksarkivet/mini_cleaned_diachronic_swe,
lst-nectec/HoogBERTa,2,54,INCModelForMaskedLM,fill-mask,transformers,best2009,
DTAI-KULeuven/robbert-2023-dutch-base,2,327,INCModelForMaskedLM,fill-mask,transformers,dbrd,
thatdramebaazguy/movie-roberta-base,1,3,INCModelForMaskedLM,fill-mask,transformers,imdb,
saghar/MiniLMv2-L6-H768-distilled-from-RoBERTa-Large-finetuned-wikitext103,1,1,INCModelForMaskedLM,fill-mask,transformers,wikitext,wikitext-103-raw-v1
saghar/xtremedistil-l12-h384-uncased-finetuned-wikitext103,1,0,INCModelForMaskedLM,fill-mask,transformers,wikitext,wikitext-103-raw-v1
SRDdev/MaskedLM,1,0,INCModelForMaskedLM,fill-mask,transformers,WillHeld/hinglish_top,
SRDdev/HingMaskedLM,1,2,INCModelForMaskedLM,fill-mask,transformers,WillHeld/hinglish_top,
MUmairAB/bert-based-MaskedLM,1,2,INCModelForMaskedLM,fill-mask,transformers,imdb,
surjray/distilbert-base-uncased-finetuned-imdb,1,0,INCModelForMaskedLM,fill-mask,transformers,imdb,
DTAI-KULeuven/robbertje-1-gb-bort,0,83,INCModelForMaskedLM,fill-mask,transformers,dbrd,
DTAI-KULeuven/robbertje-1-gb-non-shuffled,0,212,INCModelForMaskedLM,fill-mask,transformers,dbrd,
Leisa/distilbert-base-uncased-finetuned-imdb,0,2,INCModelForMaskedLM,fill-mask,transformers,imdb,
artemis13fowl/distilbert-base-uncased-finetuned-imdb,0,0,INCModelForMaskedLM,fill-mask,transformers,imdb,
jatinshah/distilbert-base-uncased-finetuned-imdb,0,0,INCModelForMaskedLM,fill-mask,transformers,imdb,
