model_name,likes,downloads,category,task,library,dataset,dataset_config_name
LIAMF-USP/roberta-large-finetuned-race,9,332,INCModelForMultipleChoice,multiple-choice,transformers,race,all
danlou/albert-xxlarge-v2-finetuned-csqa,2,1,INCModelForMultipleChoice,multiple-choice,transformers,commonsense_qa,
Riiid/kda-roberta-large-race,2,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
LIAMF-USP/aristo-roberta,1,12,INCModelForMultipleChoice,multiple-choice,transformers,race,all
danlou/aristo-roberta-finetuned-csqa,1,1,INCModelForMultipleChoice,multiple-choice,transformers,commonsense_qa,
Intel/bert-base-uncased-finetuned-swag-int8-static,1,4,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
sledz08/finetuned-bert-piqa,1,0,INCModelForMultipleChoice,multiple-choice,transformers,piqa,
Shaier/longformer_sciq,1,0,INCModelForMultipleChoice,multiple-choice,transformers,sciq,
gueleilo/bert-base-uncased-finetuned-swag,1,1,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
JazibEijaz/bert-base-uncased-finetuned-swag-e1-b16-l5e5,0,1,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
danlou/roberta-large-finetuned-csqa,0,0,INCModelForMultipleChoice,multiple-choice,transformers,commonsense_qa,
domdomreloaded/bert-base-uncased-finetuned-swag,0,1,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
ncduy/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
russab0/distilbert-qa,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
thyagosme/bert-base-uncased-finetuned-swag,0,3,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
aaraki/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
jeremykke/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
jhoonk/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
bko/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
nadiaqutaiba/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
sahillihas/OntoMedQA,0,2,INCModelForMultipleChoice,multiple-choice,transformers,medmcqa,
stevhliu/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
Shaier/longformer_race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-mpnet-base-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-scibert-uncased-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-roberta-base-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-matscibert-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-distilroberta-base-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-xlnet-base-cased-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Riiid/kda-xlnet-large-cased-race,0,1,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Shaier/longformer_cosmos,0,0,INCModelForMultipleChoice,multiple-choice,transformers,cosmos_qa,
Gladiator/distilbert-base-uncased_swag_mqa,0,5,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
hypefi/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
SuryaaSeran/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,dream,
mitali23/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,dream,
gsgoncalves/distilroberta-base-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
gsgoncalves/distilbert-base-uncased-race,0,0,INCModelForMultipleChoice,multiple-choice,transformers,race,all
Sukriti29/bert-base-uncased-finetuned-dream,0,0,INCModelForMultipleChoice,multiple-choice,transformers,dream,
NAJIX/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
NAJIX/my_awesome_reclor_model_test,0,0,INCModelForMultipleChoice,multiple-choice,transformers,reclor,
starboy1985/bert-base-uncased-finetuned-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
nizar-sayad/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
dflcmu/prototype_multiple_question,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
kaisar-barlybay-sse/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
aboMesalam/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
sofa566/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
jonastokoliu/multi_choice_bert-base-uncased_swag_finetune,0,8,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
venkataravuri/my_awesome_swag_model,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
ManuelPerdigo/distilroberta_optionsChoose,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
thesven/distilbert-swag,0,0,INCModelForMultipleChoice,multiple-choice,transformers,swag,regular
