model_name,likes,downloads,category,task,library,dataset,dataset_config_name
potsawee/longformer-large-4096-answering-race,15,971,INCModelForQuestionAnswering,question-answering,transformers,race,all
AndrewChar/model-QA-5-epoch-RU,12,73,INCModelForQuestionAnswering,question-answering,transformers,sberquad,
anakin87/electra-italian-xxl-cased-squad-it,7,6,INCModelForQuestionAnswering,question-answering,transformers,squad_it,
google/bigbird-base-trivia-itc,6,3186,INCModelForQuestionAnswering,question-answering,transformers,trivia_qa,rc
Sahajtomar/German-question-answer-Electra,5,56,INCModelForQuestionAnswering,question-answering,transformers,mlqa,mlqa-translate-test.ar
Gholamreza/distilbert-fa-zwnj-base-finetuned-pquad,5,11,INCModelForQuestionAnswering,question-answering,transformers,Gholamreza/pquad,
Rakib/roberta-base-on-cuad,4,26408,INCModelForQuestionAnswering,question-answering,transformers,cuad,
Sahajtomar/GBERTQnA,4,9,INCModelForQuestionAnswering,question-answering,transformers,mlqa,mlqa-translate-test.ar
osiria/deberta-italian-question-answering,4,1052,INCModelForQuestionAnswering,question-answering,transformers,squad_it,
mbartolo/electra-large-synqa,3,13,INCModelForQuestionAnswering,question-answering,transformers,adversarial_qa,adversarialQA
avnishkr/falcon-QAMaster,3,0,INCModelForQuestionAnswering,question-answering,adapter-transformers,adversarial_qa,adversarialQA
geldarr/saiga-Yarn-Llama-2-7b-64k,3,91,INCModelForQuestionAnswering,question-answering,transformers,RussianNLP/russian_super_glue,lidirus
AdapterHub/roberta-base-pf-hotpotqa,2,1,INCModelForQuestionAnswering,question-answering,adapter-transformers,hotpot_qa,fullwiki
akdeniz27/roberta-large-cuad,2,65,INCModelForQuestionAnswering,question-answering,transformers,cuad,
mirbostani/bert-base-uncased-finetuned-newsqa,2,95,INCModelForQuestionAnswering,question-answering,transformers,newsqa,split
luigisaetta/squad_it_xxl_cased_hub1,2,1,INCModelForQuestionAnswering,question-answering,transformers,squad_it,
VMware/tinyroberta-mrqa,2,7,INCModelForQuestionAnswering,question-answering,transformers,mrqa,
LLukas22/all-MiniLM-L12-v2-qa-all,2,12,INCModelForQuestionAnswering,question-answering,transformers,newsqa,split
AdapterHub/bert-base-uncased-pf-newsqa,1,10,INCModelForQuestionAnswering,question-answering,adapter-transformers,newsqa,split
AdapterHub/roberta-base-pf-newsqa,1,8,INCModelForQuestionAnswering,question-answering,adapter-transformers,newsqa,split
akdeniz27/deberta-v2-xlarge-cuad,1,10,INCModelForQuestionAnswering,question-answering,transformers,cuad,
mbartolo/roberta-large-synqa-ext,1,20,INCModelForQuestionAnswering,question-answering,transformers,adversarial_qa,adversarialQA
mbartolo/roberta-large-synqa,1,20,INCModelForQuestionAnswering,question-answering,transformers,adversarial_qa,adversarialQA
