model_name,likes,downloads,category,task,library,dataset,dataset_config_name
nvidia/segformer-b0-finetuned-ade-512-512,93,187884,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
facebook/maskformer-swin-large-ade,44,113692,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nvidia/segformer-b5-finetuned-ade-640-640,32,61891,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nateraw/vit-base-beans,10,2023,computer-vision,image-classification,transformers,beans,
shi-labs/oneformer_ade20k_swin_tiny,9,6430,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,7,1647,computer-vision,image-classification,transformers,cifar10,
facebook/maskformer-swin-base-ade,7,3515,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
microsoft/beit-base-finetuned-ade-640-640,7,1749,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
shi-labs/oneformer_ade20k_swin_large,7,20488,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nateraw/vit-base-patch16-224-cifar10,6,27640,computer-vision,image-classification,transformers,cifar10,
nvidia/segformer-b3-finetuned-ade-512-512,6,8853,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
abhishek/autotrain_fashion_mnist_vit_base,4,2967,computer-vision,image-classification,transformers,fashion_mnist,
Intel/dpt-large-ade,4,1285,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
shi-labs/oneformer_ade20k_dinat_large,4,2131,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
keras-io/supervised-contrastive-learning-cifar10,3,19,computer-vision,image-classification,keras,cifar10,
abhishek/autotrain_cifar10_vit_base,3,27,computer-vision,image-classification,transformers,cifar10,
nyuuzyou/AnimeHeads,3,0,computer-vision,object-detection,,nyuuzyou/AnimeHeadsv3,With augmentation
Ahmed9275/Vit-Cifar100,2,1588,computer-vision,image-classification,transformers,cifar100,
nateraw/vit-base-beans-demo-v2,1,76,computer-vision,image-classification,transformers,beans,
mrm8488/convnext-tiny-finetuned-beans,1,163,computer-vision,image-classification,transformers,beans,
jadohu/BEiT-finetuned,1,89,computer-vision,image-classification,transformers,cifar10,
edumunozsala/vit_base-224-in21k-ft-cifar100,1,25,computer-vision,image-classification,transformers,cifar100,
jimypbr/cifar10_outputs,1,14,computer-vision,image-classification,transformers,cifar10,
woojinSong/my_bean_VIT,1,9,computer-vision,image-classification,transformers,beans,
ahsanjavid/convnext-tiny-finetuned-cifar10,1,114,computer-vision,image-classification,transformers,cifar10,
juliensimon/swin-food102,1,5,computer-vision,image-classification,transformers,juliensimon/food102,
leejw51/vit-base-beans,1,5,computer-vision,image-classification,transformers,beans,
thean/swinv2-tiny-patch4-window8-256-finetuned-THFOOD-50,1,6,computer-vision,image-classification,transformers,thean/THFOOD-50,
platzi/platzi-vit-model-paola-daft,1,5,computer-vision,image-classification,transformers,beans,
platzi/platzi-vit-model-luis-reyes,1,5,computer-vision,image-classification,transformers,beans,
adhamelarabawy/human_presence_classifier,1,0,computer-vision,image-classification,,adhamelarabawy/fashion_human_classification,
Dewa/Dog_Model_From_Scratch_v2,1,12,computer-vision,image-classification,transformers,Dewa/Dog_Emotion_Dataset_v2,
platzi/platzi_vit_model-joselier,1,4,computer-vision,image-classification,transformers,beans,
DeepCyber/Enhanced-CIFAR10-CNN,1,0,computer-vision,image-classification,keras,cifar10,
gilbertoesp/vit-model-beans-health,1,4,computer-vision,image-classification,transformers,beans,
monet-joe/human-detector,1,37,computer-vision,object-detection,transformers,imdb,
facebook/maskformer-swin-tiny-ade,1,628,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
microsoft/beit-large-finetuned-ade-640-640,1,225,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nvidia/segformer-b2-finetuned-ade-512-512,1,17350,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nvidia/segformer-b4-finetuned-ade-512-512,1,2310,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
kiheh85202/yolo,1,108,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
visheratin/nllb-clip-large-oc,1,109,computer-vision,zero-shot-image-classification,open_clip,visheratin/laion-coco-nllb,
nateraw/resnet50-beans-dummy-sagemaker,0,18,computer-vision,image-classification,timm,beans,
nateraw/timm-resnet18-beans-test-2,0,14,computer-vision,image-classification,timm,beans,
nateraw/timm-resnet18-beans-test,0,11,computer-vision,image-classification,timm,beans,
nateraw/vit-base-beans-demo-v3,0,71,computer-vision,image-classification,transformers,beans,
nateraw/vit-base-beans-demo,0,76,computer-vision,image-classification,transformers,beans,
nickmuchi/vit-base-beans,0,74,computer-vision,image-classification,transformers,beans,
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0,369,computer-vision,image-classification,transformers,cifar10,
johnnydevriese/vit_beans,0,73,computer-vision,image-classification,transformers,beans,
