model_name,likes,downloads,category,task,library,dataset,dataset_config_name
jinaai/jina-embeddings-v2-small-en,79,117249,multi-modal,feature-extraction,sentence-transformers,jinaai/negation-dataset,
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,38,1204173,multi-modal,feature-extraction,transformers,stsb_multi_mt,en
katanaml-org/invoices-donut-model-v1,30,799,multi-modal,image-to-text,transformers,katanaml-org/invoices-donut-data-v1,
facebook/hubert-base-ls960,24,74542,multi-modal,feature-extraction,transformers,librispeech_asr,clean
sebastian-hofstaetter/distilbert-dot-tas_b-b256-msmarco,22,3187,multi-modal,feature-extraction,transformers,ms_marco,v1.1
ntu-spml/distilhubert,17,185182,multi-modal,feature-extraction,transformers,librispeech_asr,clean
Aniemore/wav2vec2-xlsr-53-russian-emotion-recognition,9,105,multi-modal,feature-extraction,transformers,Aniemore/resd,
tifa-benchmark/promptcap-coco-vqa,9,798,multi-modal,image-to-text,transformers,textvqa,train
photonmz/llava-roco-8bit,6,2,multi-modal,image-to-text,transformers,photonmz/roco-instruct-65k,
ITNovaML/invoices-donut-model-v1,5,0,multi-modal,image-to-text,transformers,ITNovaML/invoices-donut-data-v1,
facebook/dpr-question_encoder-multiset-base,4,11379,multi-modal,feature-extraction,transformers,trivia_qa,rc
funnel-transformer/small,4,28335,multi-modal,feature-extraction,transformers,gigaword,
susnato/ernie-m-large_pytorch,4,81,multi-modal,feature-extraction,transformers,xnli,ar
dnagpt/human_gpt2-v1,4,37,multi-modal,feature-extraction,transformers,dnagpt/human_genome_GCF_009914755.1,
ivelin/donut-refexp-combined-v1,4,155,multi-modal,visual-question-answering,transformers,ivelin/rico_refexp_combined,
facebook/data2vec-audio-base,3,858,multi-modal,feature-extraction,transformers,librispeech_asr,clean
SeanLee97/angle-bert-base-uncased-nli-en-v1,3,444,multi-modal,feature-extraction,transformers,snli,
funnel-transformer/large,2,43,multi-modal,feature-extraction,transformers,gigaword,
lanwuwei/GigaBERT-v3-Arabic-and-English,2,9455,multi-modal,feature-extraction,transformers,gigaword,
jxu124/TiO,2,8,multi-modal,feature-extraction,transformers,jxu124/invig,
T-Systems-onsite/cross-en-es-pt-roberta-sentence-transformer,1,5,multi-modal,feature-extraction,transformers,stsb_multi_mt,en
andrejmiscic/simcls-scorer-cnndm,1,59,multi-modal,feature-extraction,transformers,cnn_dailymail,3.0.0
asapp/sew-d-mid-400k,1,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-tiny-100k,1,18807,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-tiny-100k,1,18831,multi-modal,feature-extraction,transformers,librispeech_asr,clean
funnel-transformer/large-base,1,47,multi-modal,feature-extraction,transformers,gigaword,
razent/cotext-2-cc,1,50,multi-modal,feature-extraction,transformers,code_search_net,all
sebastian-hofstaetter/distilbert-dot-margin_mse-T2-msmarco,1,382,multi-modal,feature-extraction,transformers,ms_marco,v1.1
facebook/data2vec-audio-large,1,41770,multi-modal,feature-extraction,transformers,librispeech_asr,clean
ShayDuane/distilbert-base-uncased-finetuned-imdb,1,4,multi-modal,feature-extraction,transformers,imdb,
nixiesearch/e5-base-v2-onnx,1,1,multi-modal,feature-extraction,sentence-transformers,ms_marco,v1.1
cl-nagoya/unsup-simcse-ja-base,1,43,multi-modal,feature-extraction,sentence-transformers,wiki40b,
