model_name,likes,downloads,category,task,library,dataset,dataset_config_name
sentence-transformers/all-MiniLM-L6-v2,1165,5369379,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
google/flan-t5-xxl,1001,223957,natural-language-processing,text2text-generation,transformers,lambada,
facebook/bart-large-cnn,698,6345141,natural-language-processing,summarization,transformers,cnn_dailymail,3.0.0
google/flan-ul2,516,22821,natural-language-processing,text2text-generation,transformers,lambada,
sentence-transformers/all-mpnet-base-v2,499,8782647,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
mosaicml/mpt-7b-instruct,445,18980,natural-language-processing,text-generation,transformers,mosaicml/dolly_hhrlhf,
google/flan-t5-base,442,1256446,natural-language-processing,text2text-generation,transformers,lambada,
google/flan-t5-xl,371,199508,natural-language-processing,text2text-generation,transformers,lambada,
stabilityai/stablelm-tuned-alpha-7b,354,5033,natural-language-processing,text-generation,transformers,Dahoas/full-hh-rlhf,
google/flan-t5-large,318,281898,natural-language-processing,text2text-generation,transformers,lambada,
facebook/blenderbot-400M-distill,306,235025,natural-language-processing,conversational,transformers,blended_skill_talk,
dslim/bert-base-NER,299,975659,natural-language-processing,token-classification,transformers,conll2003,
cardiffnlp/twitter-roberta-base-sentiment-latest,270,1982313,natural-language-processing,text-classification,transformers,tweet_eval,emoji
cardiffnlp/twitter-roberta-base-sentiment,225,3366628,natural-language-processing,text-classification,transformers,tweet_eval,emoji
philschmid/bart-large-cnn-samsum,213,288858,natural-language-processing,summarization,transformers,samsum,
SamLowe/roberta-base-go_emotions,192,6602939,natural-language-processing,text-classification,transformers,go_emotions,simplified
sshleifer/distilbart-cnn-12-6,191,715828,natural-language-processing,summarization,transformers,cnn_dailymail,3.0.0
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,174,69411,natural-language-processing,zero-shot-classification,transformers,xnli,ar
joeddav/xlm-roberta-large-xnli,168,20861,natural-language-processing,zero-shot-classification,transformers,xnli,ar
google/tapas-base-finetuned-wtq,165,14237,natural-language-processing,table-question-answering,transformers,wikitablequestions,random-split-1
google/flan-t5-small,150,179011,natural-language-processing,text2text-generation,transformers,lambada,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,145,130516,natural-language-processing,zero-shot-classification,transformers,xnli,ar
facebook/blenderbot-3B,121,7435,natural-language-processing,conversational,transformers,blended_skill_talk,
sentence-transformers/multi-qa-mpnet-base-dot-v1,120,157767,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
stabilityai/stablelm-tuned-alpha-3b,109,6404,natural-language-processing,text-generation,transformers,Dahoas/full-hh-rlhf,
upstage/llama-30b-instruct-2048,104,6312,natural-language-processing,text-generation,transformers,sciq,
dslim/bert-large-NER,102,714229,natural-language-processing,token-classification,transformers,conll2003,
NousResearch/Yarn-Llama-2-13b-128k,99,617,natural-language-processing,text-generation,transformers,pg19,
vectara/hallucination_evaluation_model,96,8696,natural-language-processing,text-classification,transformers,snli,
epfl-llm/meditron-70b,93,876,natural-language-processing,text-generation,transformers,medmcqa,
vennify/t5-base-grammar-correction,87,5662,natural-language-processing,text2text-generation,transformers,jfleg,
sileod/deberta-v3-base-tasksource-nli,83,67502,natural-language-processing,zero-shot-classification,transformers,sick,
Salesforce/codet5-base,83,16349,natural-language-processing,text2text-generation,transformers,code_search_net,all
Jean-Baptiste/camembert-ner,82,151858,natural-language-processing,token-classification,transformers,Jean-Baptiste/wikiner_fr,
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,82,834987,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
arpanghoshal/EmoRoBERTa,79,9139,natural-language-processing,text-classification,transformers,go_emotions,simplified
philschmid/flan-t5-base-samsum,75,15621,natural-language-processing,text2text-generation,transformers,samsum,
sentence-transformers/all-MiniLM-L12-v2,72,505814,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
pszemraj/flan-t5-large-grammar-synthesis,70,184049,natural-language-processing,text2text-generation,transformers,jfleg,
google/tapas-large-finetuned-wtq,69,74126,natural-language-processing,table-question-answering,transformers,wikitablequestions,random-split-1
joeddav/distilbert-base-uncased-go-emotions-student,61,14060,natural-language-processing,text-classification,transformers,go_emotions,simplified
juierror/text-to-sql-with-table-schema,60,753,natural-language-processing,text2text-generation,transformers,wikisql,
Jean-Baptiste/roberta-large-ner-english,58,195018,natural-language-processing,token-classification,transformers,conll2003,
huggingface/CodeBERTa-small-v1,54,55671,natural-language-processing,fill-mask,transformers,code_search_net,all
grammarly/coedit-large,53,7588,natural-language-processing,text2text-generation,transformers,asset,simplification
felflare/bert-restore-punctuation,52,89979,natural-language-processing,token-classification,transformers,yelp_polarity,
slauw87/bart_summarisation,52,8313,natural-language-processing,summarization,transformers,samsum,
mrm8488/t5-base-finetuned-wikiSQL,47,1342,natural-language-processing,text2text-generation,transformers,wikisql,
stabilityai/stablelm-base-alpha-7b-v2,44,4164,natural-language-processing,text-generation,transformers,JeanKaddour/minipile,
mrm8488/t5-base-finetuned-common_gen,43,23181,natural-language-processing,text2text-generation,transformers,common_gen,
